level,file,fleet,metric,age,value,note
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.313661144584114,year=2012; observed=0.187143801871438; predicted=0.500804946455552
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.309548234133991,year=2011; observed=0.18785107; predicted=0.497399304133991
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.307506675276182,year=2018; observed=0.182930501829305; predicted=0.490437177105487
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.307015136721103,year=2010; observed=0.18855977; predicted=0.495574906721103
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.30670990726417,year=2020; observed=0.18153768; predicted=0.48824758726417
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.306138785409744,year=2013; observed=0.18643798; predicted=0.492576765409744
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.305906260000214,year=2017; observed=0.1836291; predicted=0.489535360000214
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.304926320450483,year=2009; observed=0.1892699; predicted=0.494196220450483
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.304449129636631,year=2019; observed=0.18223336; predicted=0.486682489636631
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.303218936476336,year=2008; observed=0.189981461899815; predicted=0.49320039837615
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.303012724931523,year=2016; observed=0.18432915; predicted=0.487341874931523
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.301863109387918,year=2007; observed=0.19069444; predicted=0.492557549387918
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.300728290233163,year=2006; observed=0.191408848085912; predicted=0.492137138319074
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.299712262974292,year=2005; observed=0.192124681921247; predicted=0.491836944895539
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.298569924097083,year=2004; observed=0.19284192; predicted=0.491411844097083
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.295931468102419,year=2003; observed=0.19356058; predicted=0.489492048102419
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.292533041573542,year=2015; observed=0.185030651850307; predicted=0.477563693423849
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.289455535646372,year=2002; observed=0.194280648057194; predicted=0.483736183703566
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.289263089503077,year=2014; observed=0.185733591857336; predicted=0.474996681360413
level16,examples/NMFS/pifsc_bigeye_tuna/level16_purse_seine_age_selectivity/outputs/bigeye_level16_age_comp_residual_diagnostics.csv,purse_seine,top_residual,1,0.280731947921231,year=2001; observed=0.19500212; predicted=0.475734067921231
