scenario,year,quantity,estimate,mean,median,lwr_95,upr_95,se,n_samples,note
high_catch,28,biomass,978.465,981.117,979.064,846.061,1124.5,69.9444,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,28,index,0.920368,0.922863,0.920931,0.795826,1.05773,0.0657914,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,29,biomass,973.526,976.178,974.125,841.122,1119.56,69.9444,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,29,index,0.915722,0.918217,0.916286,0.79118,1.05309,0.0657914,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,30,biomass,969.468,972.121,970.068,837.065,1115.5,69.9444,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,30,index,0.911906,0.9144,0.912469,0.787364,1.04927,0.0657914,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,21,biomass,1111.23,1114.95,1114.82,982.774,1259.58,70.534,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,21,index,1.04525,1.04875,1.04863,0.924421,1.18479,0.066346,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,22,biomass,1120.02,1123.74,1123.61,991.564,1268.37,70.534,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,22,index,1.05352,1.05702,1.0569,0.932689,1.19306,0.066346,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,23,biomass,1126.53,1130.24,1130.12,998.071,1274.88,70.534,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,23,index,1.05964,1.06314,1.06302,0.93881,1.19918,0.066346,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,24,biomass,1131.32,1135.03,1134.91,1002.86,1279.67,70.534,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,24,index,1.06414,1.06764,1.06752,0.943314,1.20368,0.066346,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,25,biomass,1134.82,1138.54,1138.42,1006.37,1283.17,70.534,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,25,index,1.06744,1.07094,1.07082,0.946613,1.20698,0.066346,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,26,biomass,1137.39,1141.1,1140.98,1008.93,1285.73,70.534,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,26,index,1.06985,1.07335,1.07323,0.949023,1.20939,0.066346,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,27,biomass,1139.25,1142.97,1142.84,1010.79,1287.6,70.534,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,27,index,1.07161,1.0751,1.07499,0.950777,1.21115,0.066346,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,28,biomass,1140.61,1144.32,1144.2,1012.15,1288.96,70.534,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,28,index,1.07288,1.07638,1.07626,0.952053,1.21242,0.066346,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,29,biomass,1141.59,1145.31,1145.18,1013.14,1289.94,70.534,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,29,index,1.07381,1.07731,1.07719,0.95298,1.21335,0.066346,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,30,biomass,1142.31,1146.02,1145.9,1013.85,1290.66,70.534,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,30,index,1.07448,1.07798,1.07786,0.953652,1.21402,0.066346,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,21,biomass,1089.86,1092.84,1093.63,952.713,1240.08,73.2546,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,21,index,1.02514,1.02795,1.02869,0.896145,1.16645,0.0689051,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,22,biomass,1082.63,1085.61,1086.41,945.492,1232.86,73.2546,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,22,index,1.01835,1.02116,1.0219,0.889353,1.15966,0.0689051,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,23,biomass,1077.17,1080.15,1080.94,940.023,1227.39,73.2546,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,23,index,1.01321,1.01601,1.01676,0.884209,1.15451,0.0689051,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,24,biomass,1073,1075.98,1076.78,935.861,1223.23,73.2546,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,24,index,1.00929,1.0121,1.01284,0.880294,1.1506,0.0689051,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,25,biomass,1069.82,1072.8,1073.6,932.682,1220.05,73.2546,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,25,index,1.0063,1.00911,1.00985,0.877303,1.14761,0.0689051,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,26,biomass,1067.39,1070.37,1071.16,930.246,1217.61,73.2546,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,26,index,1.00401,1.00681,1.00756,0.875012,1.14532,0.0689051,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,27,biomass,1065.52,1068.5,1069.29,928.377,1215.75,73.2546,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,27,index,1.00225,1.00506,1.0058,0.873254,1.14356,0.0689051,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,28,biomass,1064.08,1067.06,1067.86,926.94,1214.31,73.2546,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,28,index,1.0009,1.0037,1.00445,0.871902,1.14221,0.0689051,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,29,biomass,1062.98,1065.96,1066.75,925.833,1213.2,73.2546,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,29,index,0.999861,1.00266,1.00341,0.870861,1.14117,0.0689051,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,30,biomass,1062.12,1065.1,1065.9,924.981,1212.35,73.2546,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,30,index,0.999059,1.00186,1.00261,0.870059,1.14036,0.0689051,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,21,biomass,1175.36,1180.28,1179.84,1045.6,1327.05,71.7104,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,21,index,1.10557,1.1102,1.10979,0.983517,1.24825,0.0674526,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,22,biomass,1230.59,1235.51,1235.07,1100.83,1382.28,71.7104,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,22,index,1.15752,1.16215,1.16174,1.03547,1.3002,0.0674526,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,23,biomass,1268.67,1273.6,1273.16,1138.92,1420.36,71.7104,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,23,index,1.19334,1.19798,1.19756,1.07129,1.33603,0.0674526,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,24,biomass,1293.9,1298.83,1298.38,1164.15,1445.59,71.7104,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,24,index,1.21707,1.22171,1.22129,1.09502,1.35976,0.0674526,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,25,biomass,1310.15,1315.08,1314.63,1180.39,1461.84,71.7104,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,25,index,1.23236,1.23699,1.23658,1.11031,1.37504,0.0674526,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,26,biomass,1320.42,1325.35,1324.9,1190.66,1472.11,71.7104,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,26,index,1.24202,1.24665,1.24624,1.11997,1.3847,0.0674526,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,27,biomass,1326.83,1331.76,1331.32,1197.08,1478.52,71.7104,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,27,index,1.24805,1.25268,1.25227,1.126,1.39073,0.0674526,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,28,biomass,1330.8,1335.73,1335.29,1201.05,1482.49,71.7104,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,28,index,1.25179,1.25642,1.256,1.12974,1.39447,0.0674526,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,29,biomass,1333.25,1338.18,1337.74,1203.5,1484.94,71.7104,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,29,index,1.25409,1.25872,1.25831,1.13204,1.39677,0.0674526,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,30,biomass,1334.76,1339.68,1339.24,1205,1486.45,71.7104,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,30,index,1.2555,1.26014,1.25972,1.13345,1.39819,0.0674526,1000,terminal_state_parametric_envelope_selected_inverse_delta
