scenario,year,quantity,estimate,mean,median,lwr_95,upr_95,se,n_samples,note
low_catch,26,index,1.02919,1.03271,1.03257,0.908346,1.16895,0.0664074,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,27,biomass,688.592,690.948,690.853,607.78,782.051,44.408,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,27,index,1.02972,1.03324,1.0331,0.908871,1.16947,0.0664074,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,28,biomass,688.889,691.245,691.151,608.078,782.348,44.408,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,28,index,1.03016,1.03368,1.03354,0.909315,1.16992,0.0664074,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,29,biomass,689.141,691.497,691.403,608.33,782.6,44.408,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,29,index,1.03054,1.03406,1.03392,0.909692,1.17029,0.0664074,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,30,biomass,689.354,691.71,691.616,608.543,782.813,44.408,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,30,index,1.03086,1.03438,1.03424,0.910011,1.17061,0.0664074,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,21,biomass,663.91,665.803,666.285,577.639,758.552,46.1175,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,21,index,0.992806,0.995638,0.996359,0.863798,1.13433,0.0689638,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,22,biomass,646.388,648.281,648.763,560.117,741.03,46.1175,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,22,index,0.966604,0.969435,0.970156,0.837595,1.10813,0.0689638,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,23,biomass,631.125,633.018,633.5,544.854,725.767,46.1175,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,23,index,0.94378,0.946611,0.947332,0.814771,1.08531,0.0689638,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,24,biomass,617.651,619.545,620.027,531.38,712.293,46.1175,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,24,index,0.923632,0.926463,0.927184,0.794623,1.06516,0.0689638,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,25,biomass,605.618,607.512,607.994,519.348,700.26,46.1175,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,25,index,0.905638,0.908469,0.90919,0.776629,1.04716,0.0689638,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,26,biomass,594.762,596.656,597.138,508.491,689.404,46.1175,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,26,index,0.889404,0.892235,0.892956,0.760395,1.03093,0.0689638,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,27,biomass,584.879,586.772,587.254,498.608,679.521,46.1175,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,27,index,0.874624,0.877455,0.878176,0.745615,1.01615,0.0689638,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,28,biomass,575.808,577.701,578.183,489.537,670.45,46.1175,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,28,index,0.861059,0.863891,0.864612,0.732051,1.00259,0.0689638,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,29,biomass,567.421,569.314,569.796,481.15,662.063,46.1175,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,29,index,0.848518,0.851349,0.85207,0.719509,0.990044,0.0689638,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,30,biomass,559.614,561.507,561.989,473.343,654.256,46.1175,1000,terminal_state_parametric_envelope_selected_inverse_delta
status_quo,30,index,0.836843,0.839674,0.840395,0.707834,0.97837,0.0689638,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,21,biomass,749.41,752.528,752.233,667.783,844.975,45.1482,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,21,index,1.12066,1.12533,1.12488,0.998598,1.26357,0.0675143,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,22,biomass,803.21,806.328,806.033,721.583,898.776,45.1482,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,22,index,1.20112,1.20578,1.20534,1.07905,1.34402,0.0675143,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,23,biomass,845.407,848.525,848.23,763.78,940.973,45.1482,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,23,index,1.26422,1.26888,1.26844,1.14215,1.40712,0.0675143,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,24,biomass,877.053,880.172,879.876,795.426,972.619,45.1482,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,24,index,1.31154,1.3162,1.31576,1.18947,1.45445,0.0675143,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,25,biomass,899.951,903.069,902.774,818.324,995.516,45.1482,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,25,index,1.34578,1.35044,1.35,1.22372,1.48869,0.0675143,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,26,biomass,916.071,919.189,918.894,834.444,1011.64,45.1482,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,26,index,1.36989,1.37455,1.37411,1.24782,1.51279,0.0675143,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,27,biomass,927.195,930.313,930.018,845.568,1022.76,45.1482,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,27,index,1.38652,1.39118,1.39074,1.26446,1.52943,0.0675143,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,28,biomass,934.762,937.881,937.585,853.135,1030.33,45.1482,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,28,index,1.39784,1.4025,1.40206,1.27577,1.54075,0.0675143,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,29,biomass,939.86,942.978,942.683,858.233,1035.43,45.1482,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,29,index,1.40546,1.41012,1.40968,1.2834,1.54837,0.0675143,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,30,biomass,943.271,946.389,946.094,861.644,1038.84,45.1482,1000,terminal_state_parametric_envelope_selected_inverse_delta
zero_catch,30,index,1.41056,1.41522,1.41478,1.2885,1.55347,0.0675143,1000,terminal_state_parametric_envelope_selected_inverse_delta
